A firmly held opinion or conviction typically based on spiritual apprehension rather than empirical proof.	Belief
The anthropological practice of suspending judgment and seeking to understand another culture on its own terms sympathetically enough so that the culture appears to be a coherent and meaningful design for living.	Cultural relativism
Evidence that is verifiable by observation or experience instead of relying primarily on logic or theory.	Empirical
Complete trust or confidence in the doctrines of a religion, typically based on spiritual apprehension rather than empirical proof.	Faith
The idea that the parts of a system interconnect and interact to make up the whole.	Holism
Species that are regarded as human, directly ancestral to humans, or very closely related to humans.	Hominins
The ways in which human bodies, people, or cultures change, often in ways better suited to the environment or social context.	Human adaptation
The range of forms of any human characteristic, such as body shape or skin color.	Human variation
Explanation of observed facts; details how and why observed phenomena are the way they are. Scientific hypotheses rely on empirical evidence, are testable, and are able to be refuted.	Hypothesis
Refers to people who are the original settlers of a given region and have deep ties to that place. Also known as First Peoples, Aboriginal Peoples, or Native Peoples, these populations are in contrast to other groups who have settled, occupied, or colonized the area more recently.	Indigenous
A unified way of knowing that is shared by a group of people and used to explain and predict phenomena.	Knowledge system
A prediction about what will happen given certain conditions; typically mathematical.	Law
A research method common in cultural anthropology that involves living with, observing, and participating in the same activities as the people one studies.	Participant observation
The principle that the language you speak allows you to think about some things and not other things. This is also known as the linguistic relativity hypothesis.	Sapir-Whorf hypothesis
The process whereby an author’s work must pass the scrutiny of other experts in the field before being published in a journal or book.	Scholarly peer review
Knowledge accumulated by systematic scientific study, supported by rigorous testing and organized by general principles.	Scientific understanding
The four major areas that make up the discipline of anthropology	Subdisciplines
In this textbook, subfield refers to the different specializations within biological anthropology, including primatology, paleoanthropology, molecular anthropology, bioarchaeology, forensic anthropology, and human biology.	Subfield
An explanation of observations that typically addresses a wide range of phenomena.	Theory
