Each of two or more alternative forms of a gene that arise by mutation and are found at the same place on a chromosome.	Allele
A way of thinking that assumes humans are the most important species and leads to interpreting the world always through a human lens. Species-centric science and thought.	Anthropocentrism
The outside, or rough outer covering, of a rock. Usually the cortex is removed during the process of stone tool creation.	Cortex
Applying negative judgments to other cultures based on comparison to one’s own.	Ethnocentric
DNA that originates from sources outside of the specimen you are trying to sequence.	Exogenous DNA
Fetal position, in which the legs are drawn up to the middle of the body and the arms are drawn toward the body center. Intentional burials are often found in the flexed body position.	Flexed position
Microscopic single-celled organisms with a shell that are common in all marine environments. The fossil record of foraminifera extends back well over 500 million years.	Foraminifera
A glacial period, or time when a large portion of the world is covered by glaciers and ice sheets.	Glaciation
Round-shaped, like a globe.	Globular
Items included with a body at burial. Items may signify occupation or hobbies, social status, or level of importance in the community, or they may be items believed necessary for the afterlife.	Grave goods
A handle. Also used as a verb—to attach a handle to an item, such as a stone tool.	Haft
Small holes on the maxilla bone of the face that allows nerves and blood to reach the skin.	Infraorbital foramina
A form of dwarfism that occurs when a limited geographic region, such as an island, causes a large-bodied animal to be selected for a smaller body size.	Insular dwarfing
A warmer period between two glacial time periods.	Interglacial
A distinctive technique of stone tool manufacturing used by Archaic Homo sapiens, including Neanderthals. The technique involves the preparation of a core and striking edges off in a regular fashion around the core. Then a series of similarly sized pieces can be removed, which can then be turned into different tools.	Levallois technique
A forward projection of the nose or the middle facial region. Usually associated with Neanderthals.	Midfacial prognathism
The stone tool industry of Neanderthals and their contemporaries in Africa and Western Asia. Mousterian tools are known for a diverse set of flake tools, which is different from the large bifacial tools of the Acheulean industry.	Mousterian tools
The opening for the nose visible on a skull. Often pear- or heart-shaped.	Nasal aperture
A prominent bulge or projection on the back of the skull, specifically the occipital bone. This is a feature present only on Neanderthal skulls.	Occipital bun
A natural clay pigment mixed with ferric oxide and clay and sand. Ranges in color from brown to red to orange.	Ochre
A face that is flatter.	Retracted face
A space behind the last molar and the end of the jaw. This is a feature present only on Neanderthals. It also occurs through cultural modification in modern humans who have had their third molars, or wisdom teeth, removed.	Retromolar gap
