A person’s weight in kilograms divided by the square of their height in meters. This is the most widely used measure for identifying obesity. The formula using kilograms and meters (or centimeters) is: weight (kg) / [height (m)]2 . The formula using pounds and inches is: 703 x weight (lbs) / [height (in)]2 . Use of the BMI is controversial for several reasons, including that it does not take into account age, bone structure, muscle mass, fat distribution, or ethnic and racial differences in body type.	Body mass index (BMI)
A collection of related diseases in which some of the body’s cells begin to divide without stopping and spread into surrounding tissues.	Cancer
A disease of the heart and blood vessels, often related to atherosclerosis. CVD is a condition in which a substance called plaque builds up in the walls of the arteries, the blood vessels that carry blood away from the heart, which compromises the flow of blood to the heart or brain.	Cardiovascular disease (CVD)
The complex of nerve tissues stemming from the brain and spinal cord that controls the activities of the body.	Central nervous system
The biological system that circulates blood around the body via the heart, arteries, and veins, delivering oxygen and nutrients to organs and cells and carrying waste products away.	Circulatory (system)
An endocrine disorder in which high glucose (blood sugar) levels occur over a prolonged period of time. Blood glucose is your body’s main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy. Sometimes your body does not make enough—or any—insulin (type 1 diabetes) or does not take up insulin well (type 2 diabetes). Glucose then stays in your blood and does not reach your cells.	Diabetes mellitus
Refers to parts of the world in which there is a prevalence of chronic disease (e.g., cancer, heart disease) while, at the same time, there are also high rates of infectious disease due to poverty, malnutrition, poor sanitation, and lack of access to health care, often accompanied by high rates of maternal and child mortality.	“Double burden”
Ecological models of health and disease emphasize environmental and policy contexts of behavior, while incorporating social and psychological influences, rather than focusing on individual behaviors. These models encompass multiple levels of influence and can lend themselves to more comprehensive health interventions.	Ecological model
Infections that have recently appeared within a population or those whose incidence or geographic range is rapidly increasing or threatens to increase in the near future. Examples include Covid-19, Ebola, Zika, SARS, and avian (bird) flu.	Emerging infectious diseases (EIDs)
Those organs in the body whose primary function is the production of hormones.	Endocrine system
A transformation in patterns of disease (morbidity) and death (mortality) among a population.	Epidemiological transition
A system that ranks foods on a scale from 1 to 100 based on their effect on blood-sugar levels. Carbohydrates with a low GI value (55 or less) are more slowly digested and metabolized causing a lower, slower rise in blood glucose and insulin levels.	Glycemic index (GI)
High blood pressure. Blood pressure is the force exerted by the blood against the walls of the blood vessels. In a blood pressure reading, the top number (usually higher) refers to the systolic pressure, the amount of pressure in your arteries during the contraction of your heart muscle when your heart beats. The bottom number is the diastolic pressure when your heart muscle is resting between beats. Hypertension can lead to severe health complications and increases the risk of heart attack and stroke.	Hypertension
The rate at which new cases of a disease occur in a population over a given period of time.	Incidence
A hormone produced in the pancreas that regulates the amount of glucose in the blood. Lack of insulin or the inability to absorb insulin causes diabetes.	Insulin
A cluster of conditions, including increased blood pressure, high blood sugar, excess body fat around the waist, and abnormal cholesterol levels that occur together, increasing the risk of heart disease, stroke, and diabetes. Lifestyle changes like losing weight, exercising regularly, and making dietary changes can help prevent or reverse metabolic syndrome.	Metabolic syndrome
The first occurrence of menstruation.	Menarche
The number of cases of disease per unit of population occurring over a unit of time.	Morbidity
The number of deaths attributable to a particular cause per unit of population over a unit of time.	Mortality
Also known as chronic diseases, NCDs tend to be of long duration and are the result of a combination of genetic, physiological, environmental, and behavior factors. The main types of NCDs are cardiovascular diseases (like heart attacks and stroke), cancers, chronic respiratory diseases (such as chronic obstructive pulmonary disease and asthma), and diabetes.	Noncommunicable diseases (NCDs)
A medical condition in which excess body fat has accumulated to the point that it has adverse effects on health. Although controversial due to its lack of ethnic and racial specificity, the most widely used measure for identifying obesity is the body mass index (BMI), a person’s weight in kilograms divided by the square of their height in meters. A measure of 30 kg/m2 is considered obese and 25–29 kg/m2 is considered overweight. Distribution of body fat also matters. Fat in the abdominal region has a stronger association with type 2 diabetes and cardiovascular disease, meaning waist-to-hip ratio and waist circumference are also important indicators of obesity-related health risk.	Obesity
Promoting excessive weight gain.	Obesogenic
Able to eat and digest foods of both plant and animal origins.	Omnivorous
Refers to the degeneration of joint cartilage and underlying bone, causing pain and stiffness. In the absence of previous injury, it is most common in modern populations from middle age onward.	Osteoarthritis
The proportion of individuals in a population who have a particular disease or condition at a given point in time.	Prevalence
A way of life characterized by much sitting and little physical activity.	Sedentarism
Living in groups settled permanently in one place.	Sedentism
A predictable response to any significant threat to homeostasis. The human stress response involves the Central Nervous System and the endocrine system acting together. Sudden and severe stress incites the “flight or flight” response from the autonomic nervous system in conjunction with hormones secreted by the adrenal and pituitary glands, increasing our heart rate and breathing and releasing glucose from the liver for quick energy.	Stress response
A stroke occurs when a blood vessel leading to the brain is blocked or bursts, preventing that part of the brain from receiving blood and oxygen, leading to cell death.	Stroke
The aggregation (grouping together) of two or more diseases or health conditions in a population in which there is some level of harmful biological or behavioral interface that exacerbates the negative health effects of any or all of the diseases involved. Syndemics involve the adverse interaction of diseases of all types, including infections, chronic noncommunicable diseases, mental health problems, behavioral conditions, toxic exposure, and malnutrition.	Syndemic
The triceps skinfold site is a common location used for the assessment of body fat using skinfold calipers. A section of skin on the posterior (back) surface of the arm that lays atop the tricep muscle is pinched between calipers. The resulting measurement is matched against a chart standardized for age and gender.	Tricep skinfold measurement
A fourth epidemiological transition currently underway in which some parts of the globe are suffering from the “double burden” of infectious and chronic diseases combined with injuries and diseases related to intensifying globalization, urbanization, deforestation, and climate change.	“Triple burden”
Human illnesses caused by parasites, viruses, and bacteria that are transmitted by mosquitoes, flies, ticks, mites, snails, and lice.	Vector-borne diseases
Diseases that can be transmitted from animals to humans.	Zoonoses
