5-alpha reductase deficiency	An autosomal recessive syndrome that manifests when a child having both X and Y sex chromosomes inherits two nonfunctional (mutated) copies of the SRD5A2 gene, producing a deficiency in a hormone necessary for development in infancy of typical male genitalia. These children often appear at birth to have female genitalia, but they develop a penis and other sexual characteristics when other hormones kick in during puberty.
Adaptive radiation	The situation in which subgroups of a single species rapidly diversify and adapt to fill a variety of ecological niches.
Admixture	A term often used to describe gene flow between human populations. Sometimes also used to describe gene flow between nonhuman populations.
Allele frequency	The ratio, or percentage, of one allele compared to the other alleles for that gene within the study population.
Alleles	Variant forms of genes.
Allopatric speciation	Speciation caused by long-term isolation (physical separation) of subgroups of the population.
Antibiotics	Medicines prescribed to treat bacterial infections.
Artificial selection	Human-directed assortative mating among domestic animals, such as pets and livestock, designed to increase the chances of offspring having certain desirable traits.
Asexual reproduction	Reproduction via mitosis, whereby offspring are clones of the parents.
Autosomal dominant	A phenotype produced by a gene on an autosomal chromosome that is expressed, to the exclusion of the recessive phenotype, in heterozygotes.
Autosomal recessive	A phenotype produced by a gene on an autosomal chromosome that is expressed only in individuals homozygous for the recessive allele.
Balanced translocations	Chromosomal translocations in which the genes are swapped but no genetic information is lost.
Balancing selection	A pattern of natural selection that occurs when the extremes of a trait are selected against, favoring the intermediate phenotype (a.k.a. stabilizing selection).
Beneficial mutations	Mutations that produce some sort of an advantage to the individual.
Benign	Noncancerous. Benign tumors may cause problems due to the area in which they are located (e.g., they might put pressure on a nerve or brain area), but they will not release cells that aggressively spread to other areas of the body.
Café-au-lait spots (CALS)	Flat, brown birthmark-like spots on the skin, commonly associated with Neurofibromatosis Type 1.
Chromosomal translocations	The transfer of DNA between nonhomologous chromosomes.
Chromosomes	Molecules that carry collections of genes.
Codons	Three-nucleotide units of DNA that function as three-letter “words,” encoding instructions for the addition of one amino acid to a protein or indicating that the protein is complete.
Cretaceous–Paleogene extinction	A mass disaster caused by an asteroid that struck the earth approximately 66 million years ago and killed 75% of life on Earth, including all terrestrial dinosaurs. (a.k.a. K-Pg Extinction, Cretatious-Tertiary Extinction, and K-T Extinction).
Crossover events	Chromosomal alterations that occur when DNA is swapped between homologous chromosomes while they are paired up during meiosis I.
Cutaneous neurofibromas	Neurofibromas that manifest as spherical bumps on or just under the surface of the skin.
Deleterious mutation	A mutation producing negative effects to the individual such as the beginnings of cancers or heritable disorders.
Deletions	Mutations that involve the removal of one or more nucleotides from a DNA sequence.
Derivative chromosomes	New chromosomal structures resulting from translocations.
Dictyostelium discoideum	A species of social amoebae that has been widely used for laboratory research. Laboratory strains of Dictyostelium discoideum all carry mutations in the NF1 gene, which is what allows them to survive on liquid media (agar) in Petri dishes.
Directional selection	A pattern of natural selection in which one phenotype is favored over the other, causing the frequencies of the associated advantageous alleles to gradually increase.
Disruptive selection	A pattern of natural selection that occurs when both extremes of a trait are advantageous and intermediate phenotypes are selected against (a.k.a. diversifying selection).
DNA repair mechanisms	Enzymes that patrol and repair DNA in living cells.
DNA transposons	Transposons that are clipped out of the DNA sequence itself and inserted elsewhere in the genome.
Ecological niche	A set of constraints and resources that are available in an environmental setting.
Ellis-van Creveld syndrome	An autosomal recessive disorder characterized by short stature (dwarfism), polydactyly (the development of more than five digits [fingers or toes] on the hands or feet), abnormal tooth development, and heart defects. Estimated to affect approximately one in 60,000 individuals worldwide, among the Old Order Amish of Lancaster County, the rate is estimated to be as high as one in every 200 births.
Evolution	A change in the allele frequencies in a population over time.
Exons	The DNA sequences within a gene that directly encode protein sequences. After being transcribed into messenger RNA, the introns (DNA sequences within a gene that do not directly encode protein sequences) are clipped out, and the exons are pasted together prior to translation.
Fertile offspring	Offspring that can successfully reproduce, resulting in offspring of their own.
Founder effect	A type of genetic drift that occurs when members of a population leave the main or “parent” group and form a new population that no longer interbreeds with the other members of the original group.
Frameshift mutations	Types of indels that involve the insertion or deletion of any number of nucleotides that is not a multiple of three. These “shift the reading frame” and cause all codons beyond the mutation to be misread.
Gametes	The reproductive cells, produced through meiosis (a.k.a. germ cells or sperm or egg cells).
Gene	A sequence of DNA that provides coding information for the construction of proteins.
Gene flow	The movement of alleles from one population to another. This is one of the forces of evolution.
Gene pool	The entire collection of genetic material in a breeding community that can be passed on from one generation to the next.
Genetic drift	Random changes in allele frequencies within a population from one generation to the next. This is one of the forces of evolution.
Genotype	The set of alleles that an individual has for a given gene.
Genotype frequencies	The ratios or percentages of the different homozygous and heterozygous genotypes in the population.
Guevedoces	The term coined locally in the Dominican Republic for the condition scientifically known as 5-alpha reductase deficiency. The literal translation is “penis at twelve.”
Hardy-Weinberg Equilibrium	A mathematical formula (1=p2 + 2pq + q2 ) that allows estimation of the number and distribution of dominant and recessive alleles in a population.
Harlequin ladybeetle	A species of ladybeetle, native to East Asia, that was introduced to Europe and the Americas as a form of pest control. After many decades of use, one of the North American strains developed the ability to reproduce in diverse environments, causing it to spread rapidly throughout the Americas, Europe, and Africa. It has hybridized with European strains and is now a major pest in its own right.
Heterozygous genotype	A genotype comprising two different alleles.
